Entry	WormBase	Gene Names	Organism
Q9UAZ9	Y4C6B.2a;	CELE_Y4C6B.2 Y4C6B.2	Caenorhabditis elegans
Q9UB01	Y4C6B.1;	CELE_Y4C6B.1 Y4C6B.1	Caenorhabditis elegans
Q9UB02	H25P19.1;	CELE_H25P19.1 H25P19.1	Caenorhabditis elegans
Q9XTQ9	H13N06.2;	CELE_H13N06.2 H13N06.2	Caenorhabditis elegans
Q9XTR0	H06A10.1;	CELE_H06A10.1 H06A10.1	Caenorhabditis elegans
Q9XTR2	ZK262.11;	srh-209 CELE_ZK262.11 ZK262.11	Caenorhabditis elegans
Q9XTR3	ZK262.10;	srj-26 CELE_ZK262.10 ZK262.10	Caenorhabditis elegans
Q9XTR4	ZK262.9;	CELE_ZK262.9 ZK262.9	Caenorhabditis elegans
Q9XTR5	ZK262.7;	srw-82 CELE_ZK262.7 ZK262.7	Caenorhabditis elegans
Q9XTR6	ZK262.6;	srw-83 CELE_ZK262.6 ZK262.6	Caenorhabditis elegans
Q9XTR7	ZK262.2;	CELE_ZK262.2 ZK262.2	Caenorhabditis elegans
Q9XTR9	ZK262.1;	srh-207 CELE_ZK262.1 ZK262.1	Caenorhabditis elegans
Q9XTS0	F47G4.2;	gadr-6 CELE_F47G4.2 F47G4.2	Caenorhabditis elegans
Q9XTS5	F47G4.6;	hmg-6 CELE_F47G4.6 F47G4.6	Caenorhabditis elegans
Q9XTS6	F47G4.1;	clec-113 CELE_F47G4.1 F47G4.1	Caenorhabditis elegans
Q9XTT0	Y69H2.1a;	CELE_Y69H2.1 Y69H2.1	Caenorhabditis elegans
Q9XTT1	Y49E10.25;	CELE_Y49E10.25 Y49E10.25	Caenorhabditis elegans
Q9XTT2	Y49E10.23a;	cccp-1 CELE_Y49E10.23 Y49E10.23	Caenorhabditis elegans
Q9XTT3	Y49E10.20;	scav-3 CELE_Y49E10.20 Y49E10.20	Caenorhabditis elegans
Q9XTT6	Y49E10.10;	CELE_Y49E10.10 Y49E10.10	Caenorhabditis elegans
Q9XTU0	Y49E10.24;	arrd-16 CELE_Y49E10.24 Y49E10.24	Caenorhabditis elegans
Q9XTU1	Y49E10.22;	pstk-1 CELE_Y49E10.22 Y49E10.22	Caenorhabditis elegans
Q9XTU2	Y49E10.21b;	CELE_Y49E10.21 Y49E10.21	Caenorhabditis elegans
Q9XTU3	Y49E10.18;	CELE_Y49E10.18 Y49E10.18	Caenorhabditis elegans
Q9XTU4	Y49E10.17a;	fbxa-218 CELE_Y49E10.17 Y49E10.17	Caenorhabditis elegans
Q9XTU5	Y49E10.16a;	CELE_Y49E10.16 Y49E10.16	Caenorhabditis elegans
Q9XTU8	Y49E10.4;	CELE_Y49E10.4 Y49E10.4	Caenorhabditis elegans
Q9XTU9	Y49E10.2;	glrx-5 CELE_Y49E10.2 Y49E10.2	Caenorhabditis elegans
Q9XTV0	Y26G10.2;	srh-32 CELE_Y26G10.2 Y26G10.2	Caenorhabditis elegans
Q9XTV1	Y26G10.1;	CELE_Y26G10.1 Y26G10.1	Caenorhabditis elegans
Q9XTV4	H21P03.1;	mbf-1 CELE_H21P03.1 H21P03.1	Caenorhabditis elegans
Q9XTV7	F54B8.11;	srbc-54 CELE_F54B8.11 F54B8.11	Caenorhabditis elegans
Q9XTV8	F21H7.7;	srh-104 CELE_F21H7.7 F21H7.7	Caenorhabditis elegans
Q9XTV9	F21H7.3;	CELE_F21H7.3 F21H7.3	Caenorhabditis elegans
Q9XTW0	F13A7.7;	CELE_F13A7.7 F13A7.7	Caenorhabditis elegans
Q9XTW5	Y65A5A.1a;	CELE_Y65A5A.1 Y65A5A.1	Caenorhabditis elegans
Q9XTW6	H12D21.9a;	CELE_H12D21.9 H12D21.9	Caenorhabditis elegans
Q9XTW7	H12D21.5;	CELE_H12D21.5 H12D21.5	Caenorhabditis elegans
Q9XTW8	H12D21.6;	CELE_H12D21.6 H12D21.6	Caenorhabditis elegans
Q9XTW9	H12D21.7a;	mpst-3 CELE_H12D21.7 H12D21.7	Caenorhabditis elegans
Q9XTX2	H12D21.4;	mpst-2 CELE_H12D21.4 H12D21.4	Caenorhabditis elegans
Q9XTY0	T03D8.7;	sshk-1 CELE_T03D8.7 T03D8.7	Caenorhabditis elegans
Q9XTY2	T03D8.4a;	grl-14 CELE_T03D8.4 T03D8.4	Caenorhabditis elegans
Q9XTZ2	C18D11.4a;	rsp-8 C18D11.4 CELE_C18D11.4	Caenorhabditis elegans
Q9XTZ3	C18D11.3;	C18D11.3 CELE_C18D11.3	Caenorhabditis elegans
Q9XTZ4	C18D11.1;	C18D11.1 CELE_C18D11.1	Caenorhabditis elegans
Q9XU04	T28A8.6;	CELE_T28A8.6 T28A8.6	Caenorhabditis elegans
Q9XU05	T28A8.4;	CELE_T28A8.4 T28A8.4	Caenorhabditis elegans
Q9XU06	T28A8.3;	CELE_T28A8.3 T28A8.3	Caenorhabditis elegans
Q9XU07	T28A8.1a;	twk-40 CELE_T28A8.1 T28A8.1	Caenorhabditis elegans
Q9XU08	T28A8.5a;	CELE_T28A8.5 T28A8.5	Caenorhabditis elegans
Q9XU09	T28A8.2;	CELE_T28A8.2 T28A8.2	Caenorhabditis elegans
Q9XU11	T03E6.3;	nhr-271 CELE_T03E6.3 T03E6.3	Caenorhabditis elegans
Q9XU14	H25P06.4;Y53H1B.6;	clpr-3 clpr-4 CELE_H25P06.4 CELE_Y53H1B.6 H25P06.4 Y53H1B.6	Caenorhabditis elegans
Q9XU16	H25K10.6;	irld-39 CELE_H25K10.6 H25K10.6	Caenorhabditis elegans
Q9XU17	H25K10.4;	CELE_H25K10.4 H25K10.4	Caenorhabditis elegans
Q9XU18	H25K10.3;	srv-11 CELE_H25K10.3 H25K10.3	Caenorhabditis elegans
Q9XU19	H25K10.2;	CELE_H25K10.2 H25K10.2	Caenorhabditis elegans
Q9XU20	H03G16.4;	fbxa-96 CELE_H03G16.4 H03G16.4	Caenorhabditis elegans
Q9XU21	H03G16.5;	CELE_H03G16.5 H03G16.5	Caenorhabditis elegans
Q9XU23	H03G16.1;	CELE_H03G16.1 H03G16.1	Caenorhabditis elegans
Q9XU24	H03G16.2;	mam-6 CELE_H03G16.2 H03G16.2	Caenorhabditis elegans
Q9XU25	F47H4.4;	fbxa-185 CELE_F47H4.4 F47H4.4	Caenorhabditis elegans
Q9XU26	F47H4.11;	fbxa-134 CELE_F47H4.11 F47H4.11	Caenorhabditis elegans
Q9XU28	F47H4.9;	fbxa-189 CELE_F47H4.9 F47H4.9	Caenorhabditis elegans
Q9XU29	F47H4.8;	fbxa-188 CELE_F47H4.8 F47H4.8	Caenorhabditis elegans
Q9XU31	F14F8.7;	srw-36 CELE_F14F8.7 F14F8.7	Caenorhabditis elegans
Q9XU32	F14F8.6;	srw-44 CELE_F14F8.6 F14F8.6	Caenorhabditis elegans
Q9XU33	F14F8.4;	srz-103 CELE_F14F8.4 F14F8.4	Caenorhabditis elegans
Q9XU34	F14F8.3;	srz-1 CELE_F14F8.3 F14F8.3	Caenorhabditis elegans
Q9XU36	F14F8.5;	srw-43 CELE_F14F8.5 F14F8.5	Caenorhabditis elegans
Q9XU37	F14F8.9;	CELE_F14F8.9 F14F8.9	Caenorhabditis elegans
Q9XU38	F14F8.1;	str-61 CELE_F14F8.1 F14F8.1	Caenorhabditis elegans
Q9XU39	F14F8.8;	CELE_F14F8.8 F14F8.8	Caenorhabditis elegans
Q9XU41	C06A12.3a;	C06A12.3 CELE_C06A12.3	Caenorhabditis elegans
Q9XU43	C06A12.5;	lact-6 C06A12.5 CELE_C06A12.5	Caenorhabditis elegans
Q9XU44	F13G11.2;	irld-4 CELE_F13G11.2 F13G11.2	Caenorhabditis elegans
Q9XU45	B0379.1a;	B0379.1 CELE_B0379.1	Caenorhabditis elegans
Q9XU48	T08G3.10;	srw-35 CELE_T08G3.10 T08G3.10	Caenorhabditis elegans
Q9XU50	T08G3.8;	sru-44 CELE_T08G3.8 T08G3.8	Caenorhabditis elegans
Q9XU51	T08G3.6;	CELE_T08G3.6 T08G3.6	Caenorhabditis elegans
Q9XU52	T08G3.5;	srh-141 CELE_T08G3.5 T08G3.5	Caenorhabditis elegans
Q9XU54	T08G3.11;	CELE_T08G3.11 T08G3.11	Caenorhabditis elegans
Q9XU55	K10H10.6;	CELE_K10H10.6 K10H10.6	Caenorhabditis elegans
Q9XU57	K09E4.5;	gur-4 CELE_K09E4.5 K09E4.5	Caenorhabditis elegans
Q9XU58	F43D2.3;	CELE_F43D2.3 F43D2.3	Caenorhabditis elegans
Q9XU59	W06G6.8;	srw-77 CELE_W06G6.8 W06G6.8	Caenorhabditis elegans
Q9XU60	W06G6.7;	mltn-11 CELE_W06G6.7 W06G6.7	Caenorhabditis elegans
Q9XU61	W06G6.6;	srw-76 CELE_W06G6.6 W06G6.6	Caenorhabditis elegans
Q9XU64	W01D2.4;	srt-11 CELE_W01D2.4 W01D2.4	Caenorhabditis elegans
Q9XU65	W01D2.3a;	CELE_W01D2.3 W01D2.3	Caenorhabditis elegans
Q9XU66	T23F6.2;	CELE_T23F6.2 T23F6.2	Caenorhabditis elegans
Q9XU68	T23F6.1;	idpp-7 CELE_T23F6.1 T23F6.1	Caenorhabditis elegans
Q9XU69	T23F6.3a;	CELE_T23F6.3 T23F6.3	Caenorhabditis elegans
Q9XU71	T15D6.9;	CELE_T15D6.9 T15D6.9	Caenorhabditis elegans
Q9XU72	T15D6.8;	CELE_T15D6.8 T15D6.8	Caenorhabditis elegans
Q9XU76	M01B2.6;	chil-12 CELE_M01B2.6 M01B2.6	Caenorhabditis elegans
Q9XU79	K09B11.4;	CELE_K09B11.4 K09B11.4	Caenorhabditis elegans
