Entry	WormBase	Gene Names	Organism
Q19782	F25E2.4;	ifd-2 F25E2.4	Caenorhabditis elegans
Q19802	F26A1.2;	fkh-5 F26A1.2	Caenorhabditis elegans
Q19818	F26F4.7;	nhl-2 CELE_F26F4.7 F26F4.7	Caenorhabditis elegans
Q19821	F26F4.3;	rom-1 F26F4.3	Caenorhabditis elegans
Q19826	F26F4.11;	rpb-8 F26F4.11	Caenorhabditis elegans
Q19829	F26G1.4;	ttm-2 F26G1.4	Caenorhabditis elegans
Q19832	F26G1.7;	msp-3 F26G1.7	Caenorhabditis elegans
Q19863	F28C6.1;	aptf-4 F28C6.1	Caenorhabditis elegans
Q19873	F28D1.1;	wdr-46 F28D1.1	Caenorhabditis elegans
Q19907	F29F11.4;	twk-12 F29F11.4	Caenorhabditis elegans
Q19945	F31F6.5;	daf-6 CELE_F31F6.5 F31F6.5	Caenorhabditis elegans
Q19948	F32A5.4a [Q19948-1];F32A5.4b [Q19948-2];	F32A5.4	Caenorhabditis elegans
Q19949	F32A5.5a;	aqp-1 CELE_F32A5.5 F32A5.5	Caenorhabditis elegans
Q19951	F32A5.6;	prx-13 F32A5.6	Caenorhabditis elegans
Q19952	F32A5.7;	lsm-4 F32A5.7	Caenorhabditis elegans
Q19955	F32A6.4a;	ags-3 CELE_F32A6.4 F32A6.4	Caenorhabditis elegans
Q19958	F32A6.5a [Q19958-2];F32A6.5b [Q19958-3];F32A6.5c [Q19958-1];F32A6.5d [Q19958-4];	sto-2 F32A6.5	Caenorhabditis elegans
Q19970	F32E10.3a [Q19970-2];F32E10.3b [Q19970-1];F32E10.3c [Q19970-3];F32E10.3d [Q19970-4];	clec-180 F32E10.3	Caenorhabditis elegans
Q19981	F33C8.1a [Q19981-1];F33C8.1b [Q19981-2];	tag-53 F33C8.1	Caenorhabditis elegans
Q1HB04	T07F10.1b;	anp-1 CELE_T07F10.1 T07F10.1	Caenorhabditis elegans
Q1WBU8	T20B5.3a;	oga-1 CELE_T20B5.3 T20B5.3	Caenorhabditis elegans
Q1ZXU0	F55C5.11;	bnc-1 F55C5.11	Caenorhabditis elegans
Q20027	F35C8.5;	F35C8.5	Caenorhabditis elegans
Q20054	F35G12.6;	mab-21 F35G12.6	Caenorhabditis elegans
Q20082	F35H8.3;	zfp-2 F35H8.3	Caenorhabditis elegans
Q20084	F35H8.5a;	exc-7 CELE_F35H8.5 F35H8.5	Caenorhabditis elegans
Q20128	F37C12.13a;	exos-9 CELE_F37C12.13 F37C12.13	Caenorhabditis elegans
Q20140	F38B2.4a;	F38B2.4	Caenorhabditis elegans
Q20191	F39D8.4;	nas-13 F39D8.4	Caenorhabditis elegans
Q20201	F40E10.2;	sox-3 F40E10.2	Caenorhabditis elegans
Q20220	F40F4.7;	CELE_F40F4.7 F40F4.7	Caenorhabditis elegans
Q20224	F40F4.2;	lbp-2 F40F4.2	Caenorhabditis elegans
Q20228	F40F8.10;	rps-9 F40F8.10	Caenorhabditis elegans
Q20229	F40F8.9;	lsm-1 LSM1 CELE_F40F8.9 F40F8.9	Caenorhabditis elegans
Q20239	F40F9.6a;	aagr-3 CELE_F40F9.6 F40F9.6	Caenorhabditis elegans
Q20291	F41G3.4;	fis-1 F41G3.4	Caenorhabditis elegans
Q20332	F42E11.2a [Q20332-1];F42E11.2b [Q20332-2];F42E11.2c [Q20332-3];	ttyh-1 F42E11.2	Caenorhabditis elegans
Q20334	F42E11.4;	tni-1 F42E11.4	Caenorhabditis elegans
Q20340	F42F12.4;	CELE_F42F12.4 F42F12.4	Caenorhabditis elegans
Q20344	F42F12.3;	srdf-2.2 CELE_F42F12.3 F42F12.3	Caenorhabditis elegans
Q20351	F42G9.8;	tpst-2 F42G9.8	Caenorhabditis elegans
Q20363	F43D9.4;	sip-1 F43D9.4	Caenorhabditis elegans
Q20374	F43G6.9;	patr-1 F43G6.9	Caenorhabditis elegans
Q20405	F44F4.5a [Q20405-1];F44F4.5b [Q20405-2];	sra-10 F44F4.5	Caenorhabditis elegans
Q20445	F46B6.3a;	smg-4 CELE_F46B6.3 F46B6.3	Caenorhabditis elegans
Q20459	F46C5.3;	nas-25 F46C5.3	Caenorhabditis elegans
Q20498	F47A4.3a [Q20498-1];F47A4.3b [Q20498-2];	rrc-1 F47A4.3	Caenorhabditis elegans
Q20502	F47B10.2;	haly-1 F47B10.2	Caenorhabditis elegans
Q20574	F48F7.2;	syx-2 syn-2 F48F7.2	Caenorhabditis elegans
Q20619	F49E12.6;	efl-3 F49E12.6	Caenorhabditis elegans
Q20678	F52E4.7;	sec-3 F52E4.7	Caenorhabditis elegans
Q20689	F53A9.2;	kreg-1 F53A9.2	Caenorhabditis elegans
Q20696	F53B1.2;	F53B1.2	Caenorhabditis elegans
Q20719	F53F4.10;	F53F4.10	Caenorhabditis elegans
Q20741	F54B11.6;	bra-1 CELE_F54B11.6 F54B11.6	Caenorhabditis elegans
Q20752	F54C9.2;	stc-1 CELE_F54C9.2 F54C9.2	Caenorhabditis elegans
Q20762	F54D1.6;	F54D1.6	Caenorhabditis elegans
Q20765	F54D1.4a;	nhr-7 F54D1.4	Caenorhabditis elegans
Q20772	F54D5.7;	F54D5.7	Caenorhabditis elegans
Q20778	F54D8.1;	dpy-17 F54D8.1	Caenorhabditis elegans
Q20779	F54D8.2;	cox-6A tag-174 F54D8.2	Caenorhabditis elegans
Q20794	F54F7.7;	dot-1.2 CELE_F54F7.7 F54F7.7	Caenorhabditis elegans
Q20797	F55A11.2;	syx-5 syn-3 F55A11.2	Caenorhabditis elegans
Q20822	F55C5.8;	srpa-68 F55C5.8	Caenorhabditis elegans
Q20856	F55G7.2;	dot-1.4 CELE_F55G7.2 F55G7.2	Caenorhabditis elegans
Q20870	F56D1.7;	daz-1 F56D1.7	Caenorhabditis elegans
Q20875	F56D2.6a;	ddx-15 F56D2.6	Caenorhabditis elegans
Q20888	F56E3.3a;	klp-4 CELE_F56E3.3 F56E3.3	Caenorhabditis elegans
Q20893	F56F10.3;	cdo-1 F56F10.3	Caenorhabditis elegans
Q20910	F56H9.4b;	gpa-9 F56H9.4	Caenorhabditis elegans
Q20911	ZC116.3;	cubn-1 ZC116.3	Caenorhabditis elegans
Q20935	F57B9.3;	CELE_F57B9.3 F57B9.3	Caenorhabditis elegans
Q20939	F57B9.1;	F57B9.1	Caenorhabditis elegans
Q20958	F58A6.4;	nas-29 F58A6.4	Caenorhabditis elegans
Q20961	F58A6.6;	srb-16 F58A6.6	Caenorhabditis elegans
Q20970	F58B3.5a;	mars-1 mrs-1 F58B3.5	Caenorhabditis elegans
Q21004	F58G6.1;	amph-1 CELE_F58G6.1 F58G6.1	Caenorhabditis elegans
Q21012	F58H1.3a;	F58H1.3	Caenorhabditis elegans
Q21032	F59B8.2a;	idh-1 CELE_F59B8.2 F59B8.2	Caenorhabditis elegans
Q21053	F59G1.3;	vps-35 CELE_F59G1.3 F59G1.3	Caenorhabditis elegans
Q21102	K01H12.1a;	dph-3 K01H12.1	Caenorhabditis elegans
Q21106	ZK1251.9a;	dcaf-1 ZK1251.9	Caenorhabditis elegans
Q21122	K02B2.1;	pfkb-1.2 K02B2.1	Caenorhabditis elegans
Q21123	K02B2.4a;	inx-7 opu-7 K02B2.4	Caenorhabditis elegans
Q21127	K02B9.2;	meg-2 K02B9.2	Caenorhabditis elegans
Q21153	K02F3.2a [Q21153-2];K02F3.2b [Q21153-1];	K02F3.2	Caenorhabditis elegans
Q21166	K03A1.5;	sur-5 K03A1.5	Caenorhabditis elegans
Q21172	K03B4.3a;	taf-10 CELE_K03B4.3 K03B4.3	Caenorhabditis elegans
Q21178	K03B8.2;	nas-17 K03B8.2	Caenorhabditis elegans
Q21179	K03B8.3;	nas-18 K03B8.3	Caenorhabditis elegans
Q21180	K03B8.1;	nas-16 K03B8.1	Caenorhabditis elegans
Q21181	K03B8.5;	nas-19 K03B8.5	Caenorhabditis elegans
Q21190	K03E6.5a;	unc-1 K03E6.5	Caenorhabditis elegans
Q21191	K03E6.4;	mksr-1 CELE_K03E6.4 K03E6.4	Caenorhabditis elegans
Q21193	K03E6.6;	pfn-3 K03E6.6	Caenorhabditis elegans
Q21244	K05F1.7;	msp-63 K05F1.7	Caenorhabditis elegans
Q21252	K06A4.1;	nas-3 K06A4.1	Caenorhabditis elegans
Q21265	K07C11.5;	tag-225 K07C11.5	Caenorhabditis elegans
Q21270	K07C11.9;	cogc-6 K07C11.9	Caenorhabditis elegans
Q21272	K07C11.1;	pax-1 K07C11.1	Caenorhabditis elegans
Q21301	K07G5.1;	crml-1 CELE_K07G5.1 K07G5.1	Caenorhabditis elegans
Q21338	K08E4.1;	spt-5 K08E4.1	Caenorhabditis elegans
Q21346	K08E7.7a;	cul-6 K08E7.7	Caenorhabditis elegans
Q21353	K08F4.4;	glt-3 K08F4.4	Caenorhabditis elegans
Q21355	K08F4.7;	gst-4 K08F4.7	Caenorhabditis elegans
Q21388	K09C8.3;	nas-10 K09C8.3	Caenorhabditis elegans
Q21389	K09C8.4;	lge-1 K09C8.4	Caenorhabditis elegans
Q21407	K10B3.6a [Q21407-2];K10B3.6b [Q21407-3];K10B3.6c [Q21407-4];K10B3.6d [Q21407-1];	gpcp-1 K10B3.6	Caenorhabditis elegans
Q21408	K10B3.10b;	spc-1 CELE_K10B3.10 K10B3.10	Caenorhabditis elegans
Q21430	K11E4.4a;	pix-1 CELE_K11E4.4 K11E4.4	Caenorhabditis elegans
Q21436	K12D12.2;	npp-3 CELE_K12D12.2 K12D12.2	Caenorhabditis elegans
Q21444	C06G3.10;	cogc-2 cgo-2 cog-2 ldlc C06G3.10	Caenorhabditis elegans
Q21452	M01F1.3;	lias-1 M01F1.3	Caenorhabditis elegans
Q21455	M01F1.5;	hmit-1.3 M01F1.5	Caenorhabditis elegans
Q21463	M02D8.4;	asns-2 CELE_M02D8.4 M02D8.4	Caenorhabditis elegans
Q21473	M02F4.8a;	aqp-7 CELE_M02F4.8 M02F4.8	Caenorhabditis elegans
Q21526	M05D6.7;	gbh-2 CELE_M05D6.7 M05D6.7	Caenorhabditis elegans
Q21534	M110.7;	M110.7	Caenorhabditis elegans
Q21540	M142.2;	cut-6 M142.2	Caenorhabditis elegans
Q21551	M176.3;	chch-3 M176.3	Caenorhabditis elegans
Q21592	M7.2a;	klc-1 CELE_M7.2 M7.2	Caenorhabditis elegans
Q21625	R01H10.1;	div-1 R01H10.1/R01H10.2/Y70G10A.4	Caenorhabditis elegans
Q21645	R02E12.8;	acr-10 CELE_R02E12.8 R02E12.8	Caenorhabditis elegans
Q21653	R02F2.2;	osg-1 R02F2.2/R02F2.3	Caenorhabditis elegans
Q21657	R03A10.3;	mocs-1 R03A10.3	Caenorhabditis elegans
Q21697	R04B3.2;	R04B3.2	Caenorhabditis elegans
Q21701	R04B5.4a;	nhr-12 R04B5.4	Caenorhabditis elegans
Q21706	R04B5.9;	ugt-47 R04B5.9	Caenorhabditis elegans
Q21736	R05D11.4;	ddx-52 CELE_R05D11.4 R05D11.4	Caenorhabditis elegans
Q21752	R05G6.7;	vdac-1 R05G6.7	Caenorhabditis elegans
Q21762	R05H5.2;	cdc-25.4 CELE_R05H5.2 R05H5.2	Caenorhabditis elegans
Q21795	R07B7.5;	kmo-1 R07B7.5	Caenorhabditis elegans
Q21801	R07B7.11;	gana-1 CELE_R07B7.11 R07B7.11	Caenorhabditis elegans
Q21806	R07B7.16;	nhr-209 R07B7.16	Caenorhabditis elegans
Q21808	R07E3.3a [Q21808-1];R07E3.3b [Q21808-2];	cut-5 R07E3.3	Caenorhabditis elegans
Q21824	R07E5.2;	prdx-3 R07E5.2	Caenorhabditis elegans
Q21829	R07E5.8a;	cku-80 CELE_R07E5.8 R07E5.8	Caenorhabditis elegans
Q21831	R07E5.3;	snfc-5 CELE_R07E5.3 R07E5.3	Caenorhabditis elegans
Q21840	R08C7.8;	CELE_R08C7.8 R08C7.8	Caenorhabditis elegans
Q21872	R09E10.3;	acs-18 CELE_R09E10.3 R09E10.3	Caenorhabditis elegans
Q21882	R09H10.3a [Q21882-1];R09H10.3b [Q21882-2];	R09H10.3	Caenorhabditis elegans
Q21905	R10E4.9;	CELE_R10E4.9 R10E4.9	Caenorhabditis elegans
Q21920	R11A8.7a [Q21920-1];R11A8.7b [Q21920-2];R11A8.7c [Q21920-3];R11A8.7d [Q21920-4];R11A8.7e [Q21920-5];R11A8.7f [Q21920-6];R11A8.7g [Q21920-7];R11A8.7h [Q21920-8];	mask-1 R11A8.7	Caenorhabditis elegans
Q21926	R11A8.6;	iars-1 irs-1 R11A8.6	Caenorhabditis elegans
Q21930	R11D1.8;	rpl-28 R11D1.8	Caenorhabditis elegans
Q21944	R11F4.1;	R11F4.1	Caenorhabditis elegans
Q21962	R12C12.1a;	gldc-1 CELE_R12C12.1 R12C12.1	Caenorhabditis elegans
Q21973	R13.3;	best-15 R13.3	Caenorhabditis elegans
Q21994	R151.2a;	prps-1 CELE_R151.2 R151.2	Caenorhabditis elegans
Q21997	R151.6;	R151.6	Caenorhabditis elegans
Q22017	R53.1a [Q22017-1];R53.1b [Q22017-2];	flad-1 R53.1	Caenorhabditis elegans
Q22018	R53.2;	dtmk-1 R53.2	Caenorhabditis elegans
Q22031	R74.7;	R74.7	Caenorhabditis elegans
Q22054	T01C3.6;	rps-16 T01C3.6	Caenorhabditis elegans
Q22056	T01C3.2;	CELE_T01C3.2 T01C3.2	Caenorhabditis elegans
Q22058	T01C3.9;	hrde-2 T01C3.9	Caenorhabditis elegans
Q22075	T01G9.3;	dma-1 CELE_T01G9.3 T01G9.3	Caenorhabditis elegans
Q22078	T01G9.4;	npp-2 CELE_T01G9.4 T01G9.4	Caenorhabditis elegans
Q22080	T01H10.2;	lgc-14 CELE_T01H10.2 T01H10.2	Caenorhabditis elegans
Q22120	T03G11.4;	mans-3 CELE_T03G11.4 T03G11.4	Caenorhabditis elegans
Q22134	T04A8.5;	ppat-1 CELE_T04A8.5 T04A8.5	Caenorhabditis elegans
Q22145	T04A8.15;	him-18 CELE_T04A8.15 T04A8.15	Caenorhabditis elegans
Q22169	T04G9.5;	trap-2 T04G9.5	Caenorhabditis elegans
Q22174	T04H1.2;	slfl-5 CELE_T04H1.2 T04H1.2	Caenorhabditis elegans
Q22198	T05A6.2a;	cki-2 CELE_T05A6.2 T05A6.2	Caenorhabditis elegans
Q22224	T05C12.2;	acr-14 CELE_T05C12.2 T05C12.2	Caenorhabditis elegans
Q22240	T05H10.1;	CELE_T05H10.1 T05H10.1	Caenorhabditis elegans
Q22252	T06D8.7;	fndc-1 T06D8.7	Caenorhabditis elegans
Q22253	T06D8.8;	rpn-9 CELE_T06D8.8 T06D8.8	Caenorhabditis elegans
Q22267	T06E8.1a;	acl-2 T06E8.1	Caenorhabditis elegans
Q22295	T07C5.1b [Q22295-2];T07C5.1c [Q22295-1];	ugt-50 ugt16 T07C5.1	Caenorhabditis elegans
Q22308	T07D4.4a;	ddx-19 CELE_T07D4.4 T07D4.4	Caenorhabditis elegans
Q22317	T07F10.1a;	anp-1 CELE_T07F10.1 T07F10.1	Caenorhabditis elegans
Q22323	T07F12.1;	T07F12.1	Caenorhabditis elegans
Q22342	T08A9.1;	epg-7 atg-11 CELE_T08A9.1 T08A9.1	Caenorhabditis elegans
Q22343	T08D10.2;	lsd-1 CELE_T08D10.2 T08D10.2	Caenorhabditis elegans
Q22396	T11F9.3;	nas-20 T11F9.3	Caenorhabditis elegans
Q22398	T11F9.6;	nas-22 T11F9.6	Caenorhabditis elegans
Q22401	T11F9.5;	nas-21 T11F9.5	Caenorhabditis elegans
Q22418	T12A2.8;	gen-1 CELE_T12A2.8 T12A2.8	Caenorhabditis elegans
Q22431	T12E12.1;	ari-2 T12E12.1	Caenorhabditis elegans
Q22498	T14G10.5a;	copg-1 T14G10.5	Caenorhabditis elegans
Q22523	T16A9.4a;	nep-21 T16A9.4	Caenorhabditis elegans
Q22549	T18H9.5a;	inx-10 opu-10 T18H9.5	Caenorhabditis elegans
Q22555	T19A5.4;	nhr-44 T19A5.4	Caenorhabditis elegans
Q22590	T19E10.1a;	ect-2 CELE_T19E10.1 T19E10.1	Caenorhabditis elegans
Q22616	T20G5.10;	blos-1 T20G5.10	Caenorhabditis elegans
Q22622	T20H4.1a;	osm-10 CELE_T20H4.1 T20H4.1	Caenorhabditis elegans
Q22633	T21C12.2;	hpd-1 T21C12.2	Caenorhabditis elegans
Q22638	T21C9.1a;	mics-1 T21C9.1	Caenorhabditis elegans
Q22647	T21C9.12a;	scpl-4 tim-50 T21C9.12	Caenorhabditis elegans
Q22667	T22C1.7;	jph-1 CELE_T22C1.7 T22C1.7	Caenorhabditis elegans
Q22670	T22C1.10a [Q22670-1];T22C1.10b [Q22670-2];	rbg-2 T22C1.10	Caenorhabditis elegans
Q22678	T22C8.5;	sptf-2 T22C8.5	Caenorhabditis elegans
Q22682	T22E5.2a;	glt-4 T22E5.2	Caenorhabditis elegans
Q22706	T23G7.4;	sec-5 T23G7.4	Caenorhabditis elegans
Q22710	T24A11.3;	toh-1 nas-26 T24A11.3	Caenorhabditis elegans
Q22720	T24C12.2a;	gap-1 T24C12.2	Caenorhabditis elegans
Q22743	T24F1.1;	raga-1 CELE_T24F1.1 T24F1.1	Caenorhabditis elegans
Q22756	T24H7.4;	blos-4 T24H7.4	Caenorhabditis elegans
Q22851	T28F4.2;	asic-2 T28F4.2	Caenorhabditis elegans
Q22888	C05D9.5;	ife-4 C05D9.5	Caenorhabditis elegans
Q22910	C33D12.1;	ceh-31 C33D12.1	Caenorhabditis elegans
Q22915	C37C3.8a [Q22915-2];C37C3.8b [Q22915-1];	memo-1 tag-253 C37C3.8	Caenorhabditis elegans
Q22943	C52B9.7a [Q22943-1];C52B9.7b [Q22943-2];	paf-2 C52B9.7	Caenorhabditis elegans
Q22949	F08F3.2a;	acl-6 F08F3.2	Caenorhabditis elegans
Q22968	F25B4.1;	gcst-1 CELE_F25B4.1 F25B4.1	Caenorhabditis elegans
Q23027	R09F10.4;	inx-5 opu-5 R09F10.4	Caenorhabditis elegans
Q23088	ZK742.2;	uvs-1 ZK742.2	Caenorhabditis elegans
Q23125	W02B12.9;	mfn-1 W02B12.9	Caenorhabditis elegans
Q23126	W02B12.10;	metl-1 W02B12.10	Caenorhabditis elegans
Q23157	W04D2.3a;	inx-11 opu-11 W04D2.3	Caenorhabditis elegans
Q23158	W04D2.1a;	atn-1 CELE_W04D2.1 W04D2.1	Caenorhabditis elegans
Q23200	W06D11.4;	dot-1.3 CELE_W06D11.4 W06D11.4	Caenorhabditis elegans
Q23223	W08D2.7;	mtr-4 W08D2.7	Caenorhabditis elegans
Q23232	Y102E9.2a;	wdr-4 Y102E9.2	Caenorhabditis elegans
Q23261	ZC373.5;	ZC373.5	Caenorhabditis elegans
Q23262	ZC373.6;	dao-4 ZC373.6	Caenorhabditis elegans
Q23294	ZC410.1a [Q23294-1];ZC410.1b [Q23294-2];	nhr-11 ZC410.1	Caenorhabditis elegans
Q23296	ZC410.3a;	mans-4 CELE_ZC410.3 ZC410.3	Caenorhabditis elegans
Q23361	ZC513.5;	algn-12 ZC513.5	Caenorhabditis elegans
Q23375	ZC53.6;	dot-1.5 CELE_ZC53.6 ZC53.6	Caenorhabditis elegans
Q23406	ZK1127.1;	nos-2 CELE_ZK1127.1 ZK1127.1	Caenorhabditis elegans
Q23419	ZK1248.10;	tbc-2 CELE_ZK1248.10 ZK1248.10	Caenorhabditis elegans
Q23430	ZK1251.2a;	ins-7 ZK1251.2	Caenorhabditis elegans
Q23431	ZK1251.3;	CELE_ZK1251.3 ZK1251.3	Caenorhabditis elegans
Q23435	ZK1251.8a;	twk-9 ZK1251.8	Caenorhabditis elegans
Q23444	ZK180.3a [Q23444-1];ZK180.3b [Q23444-2];ZK180.3c [Q23444-3];	rfth-1 ZK180.3	Caenorhabditis elegans
Q23482	ZK418.4;	lin-37 CELE_ZK418.4 ZK418.4	Caenorhabditis elegans
Q23489	ZK418.1;	nhr-9 ZK418.1	Caenorhabditis elegans
Q23493	ZK430.2;	bpnt-1 tag-231 CELE_ZK430.2 ZK430.2	Caenorhabditis elegans
Q23519	ZK546.6;	msp-152 ZK546.6	Caenorhabditis elegans
Q23534	ZK563.6;	acp-1 ZK563.6	Caenorhabditis elegans
Q23539	ZK593.1a;	pyk-2 CELE_ZK593.1 ZK593.1	Caenorhabditis elegans
Q23593	ZK792.2;	inx-8 opu-8 ZK792.2	Caenorhabditis elegans
Q23623	ZK829.6;	tgt-1 ZK829.6	Caenorhabditis elegans
Q23639	ZK856.1;	cul-5 ZK856.1	Caenorhabditis elegans
Q23664	ZK930.3a;	vab-23 CELE_ZK930.3 ZK930.3	Caenorhabditis elegans
Q23680	ZK970.4;	vha-9 ZK970.4	Caenorhabditis elegans
Q25AR8	Y50E8A.4c;	unc-61 CELE_Y50E8A.4 Y50E8A.4	Caenorhabditis elegans
Q27257	F49E8.5;	dif-1 F49E8.5	Caenorhabditis elegans
Q27295	F13G3.8;	eat-5 F13G3.8	Caenorhabditis elegans
Q27371	T22E5.5;	mup-2 T22E5.5	Caenorhabditis elegans
Q27464	B0035.5;	gspd-1 B0035.5	Caenorhabditis elegans
Q27473	C28A5.3;	nex-3 C28A5.3 CELE_C28A5.3	Caenorhabditis elegans
Q27475	C34D4.2;	C34D4.2 CELE_C34D4.2	Caenorhabditis elegans
Q27488	D1054.2;	pas-2 D1054.2	Caenorhabditis elegans
Q27489	E03A3.3;	his-69 E03A3.3	Caenorhabditis elegans
Q27490	E03A3.4;	his-70 E03A3.4	Caenorhabditis elegans
Q27492	F09F7.3;	rpc-2 CELE_F09F7.3 F09F7.3	Caenorhabditis elegans
Q27494	F22D6.9;	CELE_F22D6.9 F22D6.9	Caenorhabditis elegans
Q27495	F23B12.1;	CELE_F23B12.1 F23B12.1	Caenorhabditis elegans
Q27496	F25B3.4;	CELE_F25B3.4 F25B3.4	Caenorhabditis elegans
Q27499	F42A9.5;	cyp-33e2 cyp-33E2 CELE_F42A9.5 F42A9.5	Caenorhabditis elegans
Q27500	F49E11.7;	CELE_F49E11.7 F49E11.7	Caenorhabditis elegans
Q27501	F52H3.6;	CELE_F52H3.6 F52H3.6	Caenorhabditis elegans
Q27504	K05G3.3;	cah-3 K05G3.3	Caenorhabditis elegans
Q27512	T07C4.9a;	nex-2 CELE_T07C4.9 T07C4.9	Caenorhabditis elegans
Q27513	T10B9.1;	cyp-13A4 cyp13a4 T10B9.1	Caenorhabditis elegans
Q27514	T10B9.2;	cyp-13A5 cyp13a5 T10B9.2	Caenorhabditis elegans
Q27515	T10B9.3;	cyp-13A6 cyp13a6 T10B9.3	Caenorhabditis elegans
Q27516	T10B9.4;	cyp-13A8 cyp13a8 T10B9.4	Caenorhabditis elegans
Q27517	T10B9.5;	cyp-13A3 cyp13a3 T10B9.5	Caenorhabditis elegans
Q27518	T10B9.7;	cyp-13A2 cyp13a2 T10B9.7	Caenorhabditis elegans
Q27519	T10B9.10;	cyp-13A7 cyp13a7 T10B9.10	Caenorhabditis elegans
Q27520	T10B9.8;	cyp-13A1 cyp13a1 T10B9.8	Caenorhabditis elegans
Q27521	T12C9.6;	nhr-16 T12C9.6	Caenorhabditis elegans
Q27522	T13A10.11a;	sams-5 tag-32 T13A10.11	Caenorhabditis elegans
Q27528	T25B9.2;	CELE_T25B9.2 T25B9.2	Caenorhabditis elegans
Q27532	W05B10.1;	his-74 W05B10.1	Caenorhabditis elegans
Q27536	ZK1058.3;	ZK1058.3	Caenorhabditis elegans
Q27888	F13D12.2a;	ldh-1 F13D12.2	Caenorhabditis elegans
Q27GU0	F13D11.2b;	hbl-1 CELE_F13D11.2 F13D11.2	Caenorhabditis elegans
Q27GU1	F20D12.1b;	csr-1 CELE_F20D12.1 F20D12.1	Caenorhabditis elegans
Q2AAC0	Y71H2AM.3;	CELE_Y71H2AM.3 Y71H2AM.3	Caenorhabditis elegans
Q2HQK2	Y62E10A.5b;	agt-1 CELE_Y62E10A.5 Y62E10A.5	Caenorhabditis elegans
Q2L6Y5	R12B2.1b;	sma-4 CELE_R12B2.1 R12B2.1	Caenorhabditis elegans
Q2PJ74	F58H1.1;	aman-2 CELE_F58H1.1 F58H1.1	Caenorhabditis elegans
Q2V4U0	R153.1g;	pde-4 CELE_R153.1 R153.1	Caenorhabditis elegans
Q2WF59	T24C4.6a [Q2WF59-2];T24C4.6b [Q2WF59-1];	zer-1 T24C4.6	Caenorhabditis elegans
Q2YS43	Y113G7B.5b;	fog-2 CELE_Y113G7B.5 Y113G7B.5	Caenorhabditis elegans
Q304D8	C24A8.4;	cst-2 C24A8.4 CELE_C24A8.4	Caenorhabditis elegans
Q304E5	ZK381.4b;	pgl-1 CELE_ZK381.4 ZK381.4	Caenorhabditis elegans
Q336L8	W08F4.8b;	cdc-37 CELE_W08F4.8 W08F4.8	Caenorhabditis elegans
Q3S1M2	F57C12.5e;	mrp-1 CELE_F57C12.5 F57C12.5	Caenorhabditis elegans
Q3V5J4	Y71H2AM.9;	slc-30a9 slc-30A9 CELE_Y71H2AM.9 Y71H2AM.9	Caenorhabditis elegans
Q3V5J7	Y69A2AL.2;	CELE_Y69A2AL.2 Y69A2AL.2	Caenorhabditis elegans
Q3V5K0	Y55F3AL.1a;	plx-1 CELE_Y55F3AL.1 Y55F3AL.1	Caenorhabditis elegans
Q400N4	F55A3.1;	marc-6 CELE_F55A3.1 F55A3.1	Caenorhabditis elegans
Q45EK7	C23G10.7b [Q45EK7-3];C23G10.7c [Q45EK7-1];	C23G10.7	Caenorhabditis elegans
Q4PIU4	F44C4.4b;	gon-14 CELE_F44C4.4 F44C4.4	Caenorhabditis elegans
Q4R171	C25A6.1;	C25A6.1 CELE_C25A6.1	Caenorhabditis elegans
Q4W5Q9	Y71G12B.30a;	CELE_Y71G12B.30 Y71G12B.30	Caenorhabditis elegans
Q564U4	F25C8.5;	ttll-9 F25C8.5	Caenorhabditis elegans
Q564V5	R09B3.1b;	exo-3 CELE_R09B3.1 R09B3.1	Caenorhabditis elegans
Q565A8	C18E9.3c;	szy-20 C18E9.3 CELE_C18E9.3	Caenorhabditis elegans
Q56VX4	Y105E8A.26b;	zoo-1 CELE_Y105E8A.26 Y105E8A.26	Caenorhabditis elegans
Q5CCJ2	H06I04.3c;	CELE_H06I04.3 H06I04.3	Caenorhabditis elegans
Q5I9W0	F13B10.1f;	tir-1 CELE_F13B10.1 F13B10.1	Caenorhabditis elegans
Q5LK46	F42A10.2c;	nfm-1 CELE_F42A10.2 F42A10.2	Caenorhabditis elegans
Q5R3Y6	C43E11.6e;	nab-1 C43E11.6 CELE_C43E11.6	Caenorhabditis elegans
Q5WRR6	F27D9.8;	stn-2 CELE_F27D9.8 F27D9.8	Caenorhabditis elegans
Q5ZEQ3	Y6B3B.5b;	gpap-1 CELE_Y6B3B.5 Y6B3B.5	Caenorhabditis elegans
Q65XS8	Y73B6BL.42;	acr-25 CELE_Y73B6BL.42 Y73B6BL.42	Caenorhabditis elegans
Q65XX2	Y54E10A.11;	Y54E10A.11	Caenorhabditis elegans
Q688B2	C11D2.6d;	unc-77 C11D2.6 CELE_C11D2.6	Caenorhabditis elegans
Q68TI8	C10C5.6c;	daf-15 C10C5.6 CELE_C10C5.6	Caenorhabditis elegans
Q69Z13	K08E3.5f;	rml-1 CELE_K08E3.5 K08E3.5	Caenorhabditis elegans
Q6A3Q2	C03D6.3b;	cel-1 C03D6.3 CELE_C03D6.3	Caenorhabditis elegans
Q6ABG8	M02A10.3c;	sli-1 CELE_M02A10.3 M02A10.3	Caenorhabditis elegans
Q6ABN8	C04G6.1c;	mpk-2 C04G6.1 CELE_C04G6.1	Caenorhabditis elegans
